iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
4,5051.24,0.121415,1012.91,1,1,4.8125,19.3132,4.01313
5,5083,0.358286,1020.11,1,1,19.9793,36.8159,1.8427
6,5090.09,0.138261,1031.31,1,1,2.49793,71.7635,28.7292
7,5103.04,0.026628,1027.94,1,1,7.21102,43.5656,6.04154
8,5074.73,0.025343,1016.07,1,1,24.4908,32.2346,1.31619
9,5090.88,0.07143,1029.28,1,1,11.9425,68.8399,5.7643
iteration,walltime (ms),walltime filter update (ms),max job walltime (ms),min_runners,max_runners,accumulated runner idle time,corresponding pdaf state per runner runner idle time,pdaf slack/melissa-da slack
0,5066.77,0.077726,1023.27,0,1,6.6409,67.9755,10.2359
1,5053.17,6.73096,1017.41,1,1,13.0451,80.3947,6.16284
2,5076.53,1.68108,1030.44,1,1,20.6853,96.6178,4.67085
3,5053.12,0.109394,1010.43,1,1,8.45272,16.5988,1.96372
4,5128.72,0.083848,1065.27,1,1,25.016,208.466,8.33332
5,5090.63,0.22621,1029.16,1,1,15.3516,70.7325,4.60749
6,5089.03,7.07697,1021.11,1,1,24.5076,65.1913,2.66004
7,5064.61,0.293697,1028.14,1,1,4.9498,82.6198,16.6915
8,5074.23,0.815294,1031.14,1,1,12.9106,92.0983,7.13356
9,5054.65,0.165415,1012.7,1,1,4.23368,13.8895,3.28071
