iteration,runner id,assimilation cycle,state id,timesteps,compute walltime (ms),idle walltime (ms),idle + compute walltime(ms)
16,0,4,0,1,438.991,6.84944,445.841
17,0,4,1,1,753.118,3.14893,756.267
18,0,4,2,1,1866.81,4.19273,1871.01
19,0,4,3,1,873.932,1.60309,875.535
20,0,4,4,1,1565.07,0.925897,1565.99
21,0,5,0,1,1062.37,9.96796,1072.34
22,0,5,1,1,1726.67,3.90632,1730.57
23,0,5,2,1,247.926,8.30379,256.23
24,0,5,3,1,949.537,0.825231,950.362
25,0,5,4,1,1859.21,1.15842,1860.37
26,0,6,0,1,1858.61,3.10788,1861.72
27,0,6,1,1,1609.36,3.46827,1612.83
28,0,6,2,1,52.6933,2.17944,54.8727
